ad,tur,sehir,website,logo,adres
ABDULLAH GÜL ÜNİVERSİTESİ,Devlet,Kayseri,http://www.agu.edu.tr,assets/img/logo/173499.png,Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.acibadem.edu.tr,assets/img/logo/326654.png,İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Devlet,Adana,http://www.atu.edu.tr,assets/img/logo/385368.png,"Balcalı Mahallesi, Çatalan Caddesi No:201/1 01250 Sarıçam/ADANA"
ADIYAMAN ÜNİVERSİTESİ,Devlet,Adıyaman,http://www.adiyaman.edu.tr/,assets/img/logo/100259.png,"Adıyaman Üniversitesi, Altınşehir Mh. 3005 Sokak No:13 02040   ADIYAMAN"
AFYON KOCATEPE ÜNİVERSİTESİ,Devlet,Afyonkarahisar,http://www.aku.edu.tr,assets/img/logo/100869.png,"Afyon Kocatepe Üniversitesi Rektörlüğü
ANS Kampusü Gazlıgöl Yolu Üzeri
AFYONKARAHİSAR"
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Devlet,Afyonkarahisar,https://www.afsu.edu.tr,assets/img/logo/339999.png,"Zafer Sağlık Külliyesi
Dörtyol Mah. 2078.Sok No:3
AFYONKARAHİSAR"
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,Devlet,Ağrı,http://www.agri.edu.tr,assets/img/logo/101313.png,Erzurum yolu  4 km 04100 Merkez / AĞRI
AKDENİZ ÜNİVERSİTESİ,Devlet,Antalya,http://www.akdeniz.edu.tr,assets/img/logo/101458.png,Akdeniz Üniversitesi Kampüs Antalya
AKSARAY ÜNİVERSİTESİ,Devlet,Aksaray,https://www.aksaray.edu.tr,assets/img/logo/102005.png,Bahçesaray Mah.68100 AKSARAY
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Devlet,Antalya,http://www.alanya.edu.tr/,assets/img/logo/274883.png,Kestel Mahallesi Üniversite Caddesi No:80 Alanya/ANTALYA
ALANYA ÜNİVERSİTESİ,Vakıf,Antalya,http://www.alanyauniversity.edu.tr,assets/img/logo/447835.png,"Cikcilli Beldesi, Saraybeleni Mahallesi, Saraybeleni Cad. No:7, PK 80 07400, Alanya, ANTALYA"
ALTINBAŞ ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.altinbas.edu.tr/tr,assets/img/logo/326019.png,"Mahmutbey, Dİlmenler Cd. No. 26 Bağcılar, İstanbul"
AMASYA ÜNİVERSİTESİ,Devlet,Amasya,http://www.amasya.edu.tr,assets/img/logo/102198.png,Akbilek Mah. Hakimiyet cad. Milli Hakimiyet Yerleşkesi No:4/3 PK: 05100 Merkez/AMASYA
ANADOLU ÜNİVERSİTESİ,Devlet,Eskişehir,http://www.anadolu.edu.tr/,assets/img/logo/102261.png,"Anadolu Üniversitesi Yunus Emre Kampusü, 26470 Tepebaşı/ESKİŞEHİR"
ANKARA BİLİM ÜNİVERSİTESİ,Vakıf,Ankara,https://www.ankarabilim.edu.tr,assets/img/logo/411762.png,Çamlıca Mah.Anadolu Bulv.No:16A/1 Yenimahalle Ankara
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,Devlet,Ankara,https://hacibayram.edu.tr,assets/img/logo/339985.png,Ankara Hacı Bayram Veli Üniversitesi Yüce Tepe Mahallesi 85.Cadde No.8 06570 Çankaya /ANKARA
ANKARA MEDİPOL ÜNİVERSİTESİ,Vakıf,Ankara,https://www.ankaramedipol.edu.tr,assets/img/logo/340001.png,"Hacı Bayram Mahallesi, Talatpaşa Blv. No:2 06050 Altındağ/Ankara"
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,Devlet,Ankara,http://www.mgu.edu.tr,assets/img/logo/324993.png,Yukarı Dikmen Mah. Turan Güneş Bul. Neşet Ertaş Cad. No:4 Oran Ankara
